source,source_type,date,leader,url,title
ANSA,domestic,,giorgia_meloni,https://www.ansa.it/amp/english/newswire/english_service/2026/02/04/melonis-face-removed-from-rome-church-fresco-2_ec456c29-dbb1-4d5b-ad13-3af4267a379c.html,Meloni's face removed from Rome church fresco (2)
ANSA,domestic,,giorgia_meloni,https://www.ansa.it/amp/english/news/general_news/2026/02/03/no-decision-yet-on-meloni-cherub-fresco-says-rome-diocese_2525b5e2-712b-41a4-83c8-5f3a8d192da1.html,No decision yet on Meloni-cherub fresco says Rome diocese
ANSA,domestic,,giorgia_meloni,https://www.ansa.it/amp/english/news/2026/02/06/vance-entourage-in-meloni-melons-spouse-gaffes_876d4f6a-7e8b-4069-8c90-ed861f545f63.html,Vance entourage in Meloni-'Melons' 'spouse' gaffes
AP News,wire,,claudia_sheinbaum,https://apnews.com/article/mexico-cuba-sheinbaum-humanitarian-aid-oil-0cad2c4f270321c897dd54e094763235,Mexico’s Sheinbaum pledges to send humanitarian aid to Cuba
AP News,wire,,donald_tusk,https://apnews.com/article/poland-epstein-jeffrey-russia-documents-036d5074cca6f555eb895b0dee416720,Poland to investigate Epstein files for potential Polish victims
AP News,wire,,giorgia_meloni,https://apnews.com/article/winter-olympics-protest-milan-ice-demonstration-d34ec7f856d96c0eaae7b73915fae2c6,"Meloni condemns anti-Olympics actions in Milan, calling demonstrators ‘enemies of Italy’"
AP News,wire,,giorgia_meloni,https://apnews.com/video/painting-of-angel-in-italian-church-with-face-resembling-meloni-covered-after-outcry-ae0c7299d7354b0caf501e02688c0025,Painting of angel in Italian church with face resembling Meloni covered after outcry
AP News,wire,,giorgia_meloni,https://apnews.com/article/italy-meloni-cherub-church-4413c13e787832e913f9e2cb78da647b,An angel resembling Italy’s Meloni is painted over after an outcry from church and state
AP News,wire,,giorgia_meloni,https://apnews.com/video/painting-on-all-of-church-that-resembles-italian-premier-giorgia-meloni-creates-uproar-in-rome-0ffe0bc40350493b97ff06ac980f5a3a,Painting on wall of church that resembles Italian Premier Giorgia Meloni creates uproar in Rome
AP News,wire,,giorgia_meloni,https://apnews.com/article/meloni-cherub-caravaggio-culture-d712a2acd753364bab299147415fdf38,Church and state in Italy are investigating the appearance of a cherub resembling Meloni
AP News,wire,,keir_starmer,https://apnews.com/article/jeffrey-epstein-britain-keir-starmer-mandelson-c1e5c7654cc9bd48126b9ba3ea6996ef,UK leader's chief of staff quits over appointment of Mandelson as ambassador despite Epstein ties
AP News,wire,,keir_starmer,https://apnews.com/article/uk-starmer-peter-mandelson-epstein-ea1e52adb8399eb97825f5c34b3c7343,UK’s Starmer didn’t know Jeffrey Epstein. But the prime minister’s job is under threat
AP News,wire,,keir_starmer,https://apnews.com/article/starmer-britain-epstein-mandelson-leadership-labour-1672f25ab8e2ec9fb4eaed9cb744c0b0,"After Epstein fallout, UK leader Starmer faces hurdles and rivals as he battles to keep his job"
AP News,wire,,volodymyr_zelenskyy,https://apnews.com/article/russia-ukraine-war-missile-drone-attack-electricity-c10dbc6b621e196606fc79caab0eaad5,Russia bombards Ukraine with drones and missiles a day before planned peace talks
AP News,wire,,volodymyr_zelenskyy,https://apnews.com/article/russia-ukraine-war-zelenskyy-june-deadline-98da4e17de8ab377363ae9c3ff308001,"US gave Ukraine and Russia a June deadline to reach agreement to end war, Zelenskyy says"
AP News,wire,,volodymyr_zelenskyy,https://apnews.com/article/russia-ukraine-war-peace-air-defense-593bfaa82f86473d1de17c4a244ee84d,Zelenskyy says Ukrainian air force needs to improve as Russian drone barrages take a toll
Aristegui Noticias,domestic,,claudia_sheinbaum,https://aristeguinoticias.com/0202/mundo/trump-insiste-en-que-mexico-dejara-de-enviar-petroleo-a-cuba/,Trump insiste en que 'México dejará de enviar petróleo' a Cuba
Aristegui Noticias,domestic,,claudia_sheinbaum,https://aristeguinoticias.com/0502/mexico/sheinbaum-asegura-que-mexico-no-se-doblega-ante-presiones-de-ee-uu/,Sheinbaum asegura que México 'no se doblega' ante presiones de EE.UU.
Aristegui Noticias,domestic,,claudia_sheinbaum,https://aristeguinoticias.com/0502/dinero-y-economia/bbva-respalda-plan-de-inversiones-de-sheinbaum-pero-pide-certidumbre-en-las-reglas/,"BBVA respalda plan de inversiones de Sheinbaum, pero pide “certidumbre” en las reglas"
Aristegui Noticias,domestic,,claudia_sheinbaum,https://aristeguinoticias.com/0202/mexico/aristegui-en-vivo-trump-y-sheinbaum-difieren-sobre-cuba-adan-augusto-deja-coordinacion-bad-bunny-contra-ice-en-los-grammy-02-02-2026/,Lo mejor de Aristegui en Vivo: Trump y Sheinbaum difieren sobre Cuba; Adán Augusto deja coordinación
Aristegui Noticias,domestic,,claudia_sheinbaum,https://aristeguinoticias.com/0602/mexico/aristegui-en-vivo-cae-el-alcalde-de-tequila-jalisco-sheinbaum-mexico-no-se-doblega-narcocampamentos-en-sinaloa-06-02-2026/,Lo mejor de Aristegui en Vivo: Limpian zapatos a ministro Aguilar Ortíz y el video indigna; Cae el a
Aristegui Noticias,domestic,,claudia_sheinbaum,https://aristeguinoticias.com/0402/dinero-y-economia/sheinbaum-llama-a-empresas-mexicanas-y-extranjeras-a-invertir-en-mexico/,Sheinbaum llama a empresas mexicanas y extranjeras a invertir en México
Aristegui Noticias,domestic,,claudia_sheinbaum,https://aristeguinoticias.com/0302/mexico/la-mananera-de-sheinbaum-mediacion-entre-cuba-y-ee-uu-hacienda-presenta-plan-de-inversion-mixta-03-02-2026/,La Mañanera de Sheinbaum | ¿Mediación entre Cuba y EE.UU?; Hacienda presenta plan de 'inversión mixt
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/cvg1g83zvlyo,"Mandelson scandal is 'serious' for Starmer but PM is 'man of integrity', Brown says"
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/c338g8n334mo,Henry Zeffman: Could this be the beginning of the end for Keir Starmer?
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/cp37v4kyv3eo,Starmer apologises to Epstein victims for believing Mandelson's 'lies'
BBC,domestic,,keir_starmer,https://www.bbc.com/audio/play/m002qtj0,Sir Keir Starmer apologises to Epstein victims
BBC,domestic,,keir_starmer,https://www.bbc.com/audio/play/w172zsskmkslhjj,Britain's Prime Minister apologises to Epstein victims
BBC,domestic,,keir_starmer,https://www.bbc.com/audio/play/p0mzc2gn,Epstein Files: Will Mandelson Cost Starmer His Job?
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/cp37vx2yvpvo,Call for PM Keir Starmer to resign amid Mandelson scandal
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/cy03nd2yxzdo,"Don't drop PM over Mandelson, minister urges Labour MPs"
BBC,domestic,,keir_starmer,https://www.bbc.com/news/live/c74wd01egvyt,"McSweeney quits as PM's chief of staff, saying he takes 'full responsibility' for advising Mandelson"
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/czej4ep882ko,MPs are shocked and angry at Mandelson - and furious with Starmer
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/cr7j7n0nxvlo,Three things that could bring Starmer down - and what might save him
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/cm24j3lde1eo,'U-turn on Mandelson files' and 'Starmer in grave peril'
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/cx2pe8m4xk1o,Chris Mason: Starmer can ill afford any more days like these
BBC,domestic,,keir_starmer,https://www.bbc.com/news/articles/ce8erj6z8x5o,Chris Mason: Mandelson revelations a scandal on another level
BNS,domestic,,gitanas_nausėda,https://sc.bns.lt/view/item/lietuvos-respublikos-prezidentas-gitanas-nauseda-523568,Lietuvos Respublikos Prezidentas Gitanas Nausėda
BNS,domestic,,kristen_michal,https://www.bns.ee/topic/648/news/69931387/,Kuidas saada BNS-i kasutajaks?
